action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,iaction,group_id,ranking
change_to_left,False,False,True,False,True,True,False,keep,61,1
change_to_left,False,False,True,False,True,True,False,swerve_left,61,1
change_to_left,False,False,True,False,True,True,False,swerve_right,61,1
change_to_left,False,False,True,False,True,True,False,change_to_right,61,2
change_to_left,False,False,True,False,True,True,False,cruise,61,2
change_to_left,False,False,True,False,True,True,False,change_to_left,61,3
change_to_right,False,False,True,False,True,True,True,keep,62,1
change_to_right,False,False,True,False,True,True,True,swerve_left,62,2
change_to_right,False,False,True,False,True,True,True,swerve_right,62,2
change_to_right,False,False,True,False,True,True,True,change_to_left,62,3
change_to_right,False,False,True,False,True,True,True,cruise,62,3
change_to_right,False,False,True,False,True,True,True,change_to_right,62,4
cruise,False,False,True,False,True,True,True,keep,63,1
cruise,False,False,True,False,True,True,True,swerve_left,63,2
cruise,False,False,True,False,True,True,True,swerve_right,63,2
cruise,False,False,True,False,True,True,True,change_to_left,63,3
cruise,False,False,True,False,True,True,True,change_to_right,63,3
cruise,False,False,True,False,True,True,True,cruise,63,4
change_to_left,False,False,True,False,True,True,True,keep,64,1
change_to_left,False,False,True,False,True,True,True,swerve_left,64,2
change_to_left,False,False,True,False,True,True,True,swerve_right,64,2
change_to_left,False,False,True,False,True,True,True,change_to_right,64,3
change_to_left,False,False,True,False,True,True,True,cruise,64,3
change_to_left,False,False,True,False,True,True,True,change_to_left,64,4
change_to_right,False,False,True,True,False,False,False,cruise,65,1
change_to_right,False,False,True,True,False,False,False,keep,65,1
change_to_right,False,False,True,True,False,False,False,swerve_left,65,1
change_to_right,False,False,True,True,False,False,False,swerve_right,65,1
change_to_right,False,False,True,True,False,False,False,change_to_left,65,2
change_to_right,False,False,True,True,False,False,False,change_to_right,65,3
change_to_left,False,False,True,True,False,False,False,cruise,66,1
change_to_left,False,False,True,True,False,False,False,keep,66,2
change_to_left,False,False,True,True,False,False,False,swerve_left,66,2
change_to_left,False,False,True,True,False,False,False,swerve_right,66,2
change_to_left,False,False,True,True,False,False,False,change_to_right,66,3
change_to_left,False,False,True,True,False,False,False,change_to_left,66,4
change_to_right,False,False,True,True,False,False,True,cruise,67,1
change_to_right,False,False,True,True,False,False,True,keep,67,1
change_to_right,False,False,True,True,False,False,True,swerve_left,67,1
change_to_right,False,False,True,True,False,False,True,swerve_right,67,2
change_to_right,False,False,True,True,False,False,True,change_to_left,67,3
change_to_right,False,False,True,True,False,False,True,change_to_right,67,4
change_to_left,False,False,True,True,False,False,True,cruise,68,1
change_to_left,False,False,True,True,False,False,True,keep,68,1
change_to_left,False,False,True,True,False,False,True,swerve_left,68,1
